Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2026-03-21,16:15 ,"Lunch","Cheater shake + MCT","1.00 full recipe",1725.00,0.00,0.00,0.00,0.00,1077.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,3.71,53.86,0.00,0.00,706.14,5.39,897.59,0.00,174.72,195.33,20.62,0.00,0.00,0.00,12.88,27.37,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.77,0.00,0.00,0.00,0.00,""
2026-03-21,18:58 ,"Dinner","Bedtime yogurt","1.00 full recipe",484.13,0.00,0.00,2.17,1.45,380.84,0.11,1.26,1.09,1.52,0.31,3.38,30.49,146.24,19.58,0.00,0.27,0.85,507.66,0.11,1.94,53.16,0.07,617.03,766.68,43.79,211.32,2.38,51.03,55.95,4.86,0.50,0.22,0.73,42.88,10.52,44.85,0.19,0.06,5.17,0.02,0.01,0.01,0.00,0.00,0.05,0.00,0.05,0.00,0.01,0.01,0.02,0.01,0.00,0.01,46.47,0.01,0.01,0.00,0.01,""
2026-03-22,19:31 ,"Snacks","Water","145.00 fl oz",0.00,0.00,0.00,0.00,,4288.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-22,05:13 ,"Snacks","Workout shake heavy","1.00 full recipe",680.00,0.00,0.00,,,1020.58,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,30.21,,0.00,171.03,,0.00,460.00,5.10,2220.21,0.00,105.00,105.00,0.00,,,100.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,,,,,,,,60.00,,0.00,,,""
2026-03-22,16:15 ,"Lunch","Cheater shake + MCT","1.00 full recipe",1725.00,0.00,0.00,0.00,0.00,1077.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,3.71,53.86,0.00,0.00,706.14,5.39,897.59,0.00,174.72,195.33,20.62,0.00,0.00,0.00,12.88,27.37,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.77,0.00,0.00,0.00,0.00,""
2026-03-22,18:44 ,"Uncategorized","Met-Rx Big 100 Bar, Crispy Apple Pie","1.00 bar - each 3.5 oz",382.82,0.00,0.00,32.93,380.24,8.84,0.45,0.51,6.00,3.00,0.60,1.80,166.38,449.39,18.00,0.16,4.41,2.25,150.00,1.00,3.60,27.73,0.54,200.00,150.00,2.00,390.07,5.25,44.37,48.42,1.96,1.89,0.07,10.60,29.13,10.16,0.21,2.85,0.85,5.92,0.03,0.10,0.10,0.00,0.00,0.74,0.00,0.74,0.40,0.78,1.50,2.47,1.99,0.43,1.53,31.04,1.17,0.43,1.08,1.46,"Snacks"
2026-03-23,05:13 ,"Snacks","Workout shake heavy","1.00 full recipe",680.00,0.00,0.00,,,1020.58,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,30.21,,0.00,171.03,,0.00,460.00,5.10,2220.21,0.00,105.00,105.00,0.00,,,100.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,,,,,,,,60.00,,0.00,,,""
2026-03-23,19:31 ,"Snacks","Water","122.60 fl oz",0.00,0.00,0.00,0.00,,3625.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-23,16:15 ,"Lunch","Cheater shake + MCT","1.00 full recipe",1725.00,0.00,0.00,0.00,0.00,1077.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,3.71,53.86,0.00,0.00,706.14,5.39,897.59,0.00,174.72,195.33,20.62,0.00,0.00,0.00,12.88,27.37,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.77,0.00,0.00,0.00,0.00,""
2026-03-23,18:44 ,"Uncategorized","Met-Rx Big 100 Bar, Crispy Apple Pie","1.00 bar - each 3.5 oz",382.82,0.00,0.00,32.93,380.24,8.84,0.45,0.51,6.00,3.00,0.60,1.80,166.38,449.39,18.00,0.16,4.41,2.25,150.00,1.00,3.60,27.73,0.54,200.00,150.00,2.00,390.07,5.25,44.37,48.42,1.96,1.89,0.07,10.60,29.13,10.16,0.21,2.85,0.85,5.92,0.03,0.10,0.10,0.00,0.00,0.74,0.00,0.74,0.40,0.78,1.50,2.47,1.99,0.43,1.53,31.04,1.17,0.43,1.08,1.46,"Snacks"
2026-03-24,19:30 ,"Snacks","Water","127.70 fl oz",0.00,0.00,0.00,0.00,,3776.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-24,05:13 ,"Snacks","Rule 1, Clear Isolate Powder, Cherry Limeade","4.00 Scoop",360.00,,,,,,,,,,,,,,,0.00,,,40.00,,0.00,,,,120.00,,400.00,,4.00,4.00,0.00,,,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,80.00,,,,,"Supplements"
2026-03-24,05:13 ,"Snacks","EFX Sports, Karbolyn Fuel","2.00 Scoop",400.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,100.00,100.00,0.00,,,100.00,0.00,0.00,0.00,,,0.00,,,,,,,,,,,,,,,,0.00,,,,,"Supplements"
2026-03-24,05:13 ,"Breakfast","LMNT, Electrolyte Drink Mix, Mango Chili","2.00 Stick",10.00,,,,,,,,,,,,,,,0.00,,,0.00,,0.00,120.00,,,400.00,,2000.00,,1.00,1.00,0.00,,,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,,,,,"Supplements"
2026-03-24,16:15 ,"Lunch","Cheater shake + MCT","1.00 full recipe",1725.00,0.00,0.00,0.00,0.00,1077.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,3.71,53.86,0.00,0.00,706.14,5.39,897.59,0.00,174.72,195.33,20.62,0.00,0.00,0.00,12.88,27.37,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.77,0.00,0.00,0.00,0.00,""
2026-03-24,18:28 ,"Dinner","Beef n broccoli small","1.00 full recipe",607.27,0.00,0.00,6.86,27.50,139.23,0.10,0.19,0.86,0.96,0.31,0.00,168.48,120.77,101.24,0.00,3.15,219.96,79.73,0.10,5.31,32.76,0.30,104.52,912.07,2.50,793.29,0.70,76.65,84.80,8.15,4.60,0.55,0.00,3.04,9.44,82.33,0.06,0.27,3.16,0.26,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.14,0.23,0.24,0.07,0.18,47.85,0.15,0.05,0.09,0.22,""
2026-03-25,19:29 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:29 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:29 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","16.00 fl oz",0.00,0.00,0.00,0.00,,473.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,19:30 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-25,09:19 ,"Snacks","Rule 1, Clear Isolate Powder, Cherry Limeade","2.00 Scoop",180.00,,,,,,,,,,,,,,,0.00,,,20.00,,0.00,,,,60.00,,200.00,,2.00,2.00,0.00,,,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,40.00,,,,,"Supplements"
2026-03-25,09:19 ,"Snacks","Isopure, Infusions, Protein Powder, Citrus Lemonade","1.00 Scoop",90.00,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,2.00,2.00,,,,,1.00,0.00,10.00,,,,,,,,,,,,,,,,,,,20.00,,,,,"Supplements"
2026-03-25,09:19 ,"Snacks","EFX Sports, Karbolyn Fuel","2.00 Scoop",400.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,100.00,100.00,0.00,,,100.00,0.00,0.00,0.00,,,0.00,,,,,,,,,,,,,,,,0.00,,,,,"Supplements"
2026-03-25,09:19 ,"Snacks","LMNT, Electrolyte Drink Mix, Mango Chili","1.00 Stick",5.00,,,,,,,,,,,,,,,0.00,,,0.00,,0.00,60.00,,,200.00,,1000.00,,0.50,0.50,0.00,,,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,,,,,"Supplements"
2026-03-25,09:16 ,"Breakfast","Eggs, Cooked","3.00 large",232.50,0.00,0.00,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,0.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,186.00,1.58,1.67,1.68,0.00,0.00,0.00,0.00,1.68,15.92,559.50,6.12,2.12,4.90,0.00,0.10,0.04,0.06,0.01,1.97,0.22,1.73,0.44,0.45,1.03,1.61,1.36,0.59,1.00,18.87,0.91,0.23,0.77,1.15,"Dairy and Egg Products"
2026-03-25,09:16 ,"Breakfast","Egg Whites Only, Cooked","450.00 g",247.50,0.00,0.00,0.00,0.00,388.35,0.02,1.76,0.47,0.86,0.02,0.40,18.00,0.00,0.00,0.00,0.00,0.00,31.50,0.10,0.36,49.50,0.05,67.50,733.50,80.55,747.00,0.13,10.60,10.62,0.00,0.00,0.00,0.00,3.20,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,1.16,2.74,4.59,3.70,2.19,3.27,48.15,2.55,0.85,2.10,3.51,"Dairy and Egg Products"
2026-03-25,09:17 ,"Breakfast","Bread, Rye, Toasted","2.00 slice, regular",136.32,,,,,14.88,0.18,0.16,1.81,0.15,0.04,,49.44,0.58,0.10,,0.18,0.62,38.40,0.10,1.49,20.64,0.43,66.24,87.84,16.32,318.72,0.60,22.42,25.49,3.07,,,20.39,2.03,1.73,,0.69,0.42,0.33,,0.03,,,,0.39,,,0.09,0.10,0.17,0.31,0.12,0.07,0.22,4.51,0.13,0.05,0.11,0.20,"Baked Products"
2026-03-25,19:18 ,"Lunch","Beef n broccoli","1.00 full recipe",1158.53,0.00,0.00,13.73,55.00,278.45,0.20,0.38,1.73,1.92,0.62,0.00,336.95,241.54,202.48,0.00,6.30,439.91,155.46,0.19,9.71,65.52,0.61,209.04,1719.14,4.99,1420.58,1.40,152.70,169.00,16.30,9.20,1.09,0.00,5.87,17.08,145.67,0.12,0.53,5.61,0.46,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.29,0.46,0.48,0.13,0.36,86.89,0.30,0.11,0.19,0.43,""
2026-03-25,,"Dinner","Private Selection, Cherry Berry Medley","215.00 g",107.50,,,,,,,,,,,,,138.21,32.25,,,,30.71,,1.11,,,,,,0.00,,21.50,26.11,4.61,,,,18.43,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,1.54,,,,,"Fruits and Fruit Juices"
2026-03-25,,"Dinner","Friendly Farms, Whole Milk Greek Yogurt, Plain","197.00 g",197.00,,,,,160.16,0.05,0.55,0.41,0.65,0.12,1.48,9.85,92.71,,,0.02,,197.00,0.03,0.23,21.67,0.02,265.95,266.53,19.11,69.53,1.02,7.53,8.11,0.58,,,,6.95,10.43,40.56,,,6.95,,,,,,,,,,,,,,,,17.38,,,,,"Dairy and Egg Products"
2026-03-25,,"Dinner","Friendly Farms, Nonfat Greek Yogurt, Plain","375.00 g",198.53,,,,,319.13,0.09,1.04,0.78,1.24,0.24,2.81,26.25,3.75,,0.00,0.04,,397.06,0.06,0.26,41.25,0.03,506.25,551.47,36.37,143.38,1.95,13.24,13.24,0.00,,,,13.24,1.46,22.06,0.20,0.05,0.44,0.02,0.00,0.00,,,0.04,,0.04,,,,,,,,35.29,,,,,"Dairy and Egg Products"
2026-03-25,,"Dinner","Millville, Protein Crunchy Granola, Oats & Dark Chocolate","25.00 g",100.00,,,,,,,,,,,,,,,0.00,,,18.18,,0.91,,,,50.00,,47.73,,14.09,15.45,1.36,,,,7.73,3.18,0.00,0.00,0.00,0.45,0.00,,,,,,,,,,,,,,,4.55,,,,,"Breakfast Cereals"
2026-03-25,,"Dinner","Dried Fruit Mixture, Prunes, Apples, Apricots, Pears","30.00 g",89.13,0.00,0.00,4.35,2.91,5.27,0.02,0.03,0.30,0.06,0.04,0.00,2.99,7.61,1.66,0.00,0.46,1.70,12.27,0.07,0.39,7.32,0.07,19.05,159.24,0.27,9.51,0.08,22.01,23.58,1.44,1.01,0.44,1.47,20.20,0.18,0.00,0.04,0.04,0.03,0.00,0.01,0.01,0.00,0.00,0.03,0.00,0.03,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.65,0.03,0.01,0.01,0.03,"Fruits and Fruit Juices"
2026-03-26,05:13 ,"Snacks","Workout shake heavy","1.00 full recipe",680.00,0.00,0.00,,,1020.58,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,30.21,,0.00,171.03,,0.00,460.00,5.10,2220.21,0.00,105.00,105.00,0.00,,,100.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,,,,,,,,60.00,,0.00,,,""
2026-03-26,17:36 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,17:36 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,17:36 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,17:36 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,17:37 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,17:37 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,17:37 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,17:37 ,"Snacks","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,17:38 ,"Snacks","Met-Rx Big 100 Bar, Crispy Apple Pie","1.00 bar - each 3.5 oz",382.82,0.00,0.00,32.93,380.24,8.84,0.45,0.51,6.00,3.00,0.60,1.80,166.38,449.39,18.00,0.16,4.41,2.25,150.00,1.00,3.60,27.73,0.54,200.00,150.00,2.00,390.07,5.25,44.37,48.42,1.96,1.89,0.07,10.60,29.13,10.16,0.21,2.85,0.85,5.92,0.03,0.10,0.10,0.00,0.00,0.74,0.00,0.74,0.40,0.78,1.50,2.47,1.99,0.43,1.53,31.04,1.17,0.43,1.08,1.46,"Snacks"
2026-03-26,17:41 ,"Snacks","Isopure, Infusions, Protein Powder, Citrus Lemonade","3.00 Scoop",270.00,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,,6.00,6.00,,,,,3.00,0.00,30.00,,,,,,,,,,,,,,,,,,,60.00,,,,,"Supplements"
2026-03-26,17:43 ,"Snacks","Metamucil, Clear Fiber Blend, Unflavored","6.00 rounded teaspoon",60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,24.00,18.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2026-03-26,09:27 ,"Dinner","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-03-26,09:27 ,"Dinner","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
